japanese,reading,meaning,sinoVietnamese
縫う,ぬう,"may, khâu lại",PHÙNG
指す,さす,"chỉ ra, hướng tới 示す",CHỈ
示す,しめす,"chỉ ra, cho xem, thể hiện 指す",KÌ
注ぐ,そそぐ,"chảy vào, đổ vào",CHÚ
濯ぐ,すすぐ,Súc miệng,
触る,さわる,"chạm, sờ を",XÚC
触れる,さわれる,"chạm, sờ を・が",XÚC
抱く,"いだく,だく","ôm ấp, vây quanh が",BÃO
抱える,かかえる,"赤字を抱える vướng, mắc phải nợ",
担ぐ,かつぐ,"mang, vác を 負う",ĐAM
剥がす,はがす,"bóc, lột (vỏ) を",BÁC
描く,かく,"vẽ, mô tả, hình dung",MIÊU
砕ける,くだける,砕けた態度 thái độ thân mật. bị vỡ vụn,
砕く,くだく,1. giải quyết vấn đề 2. đập nhỏ ( vd : đập cục nước đá to ra để cho vừa vào cốc nước),
塞がる,ふさがる,"bị tắc ngẽn, kín, bít, đầy が 詰まる",TẮC
塞ぐ,ふさぐ,"bịt, lấp, làm đầy, nhắm(mắt) を 詰める",TẮC
避ける,よける,"Phòng tránh (côn trùng, bệnh tật)",
避ける(khac),さける,"Tránh né, trốn tránh (Trách nhiệm, nguy hiểm)",
添える,そえる,"Thêm vào, đính vào",
添う,そう,期待に添う。 đi cùng đáp ứng mong muốn,
見つめる,みつめる,"nhìn chăm chú, nhìn thẳng",KIẾN
眺める,ながめる,ngắm nhìn,THIẾU
見合わせる,みあわせる,"見合わせる＝延期する.. trì hoãn,hoãn",
見送る,みおくる,tiễn (khách),KIẾN TỐNG
訪れる,おとずれる,訪れる(ghé thăm không mục đích) (Không dùng ghé thăm người) 訪ねる(ghé thăm có mục đích) ( có thể dùng khi ghé thăm người và địa điểm hướng đến có mục đích,
引き返す,ひきかえす,quay lại 戻す,DẪN PHẢN
去る,さる,"rời khỏi/ vừa rồi + ngày tháng Với cách dùng 「去る+ ngày tháng năm」thì thường chỉ dùng ở những sự kiện, nghi thức lớn (ngoại trừ đám tang)",KHỨ
啜る,すする,Liên tưởng từ tưởng sùm sụp 1. húp sụm sụp 2. xịt mũi,
味わう,あじわう,"nếm, thưởng thức",VỊ
匂う,におう,"() có mùi, nực mùi",MÙI
飢える,うえる,lắm rồi = めっちゃ飢えた - đồng âm với trồng cây 植える,VÃ
問う,とう,"(V)hỏi về, hỏi, vấn 問い合わせる, 尋ねる、訪問する、訪れる、伺う",VẤN
語る,かたる,kể chuyện; kể lại;,NGỮ
誓う,ちかう,= vow,THỆ
支える,ささえる,"chống đỡ, hỗ trợ",CHI
費やす,ついやす,Đồng nghĩa với 使う nhưng thêm nét nghĩa lãng phí,PHÍ
用いる,もちいる,"= 使う, make use, ultilize",DỤNG
