japanese,reading,meaning,sinoVietnamese
粒,つぶ,"hạt, viên 種(たね)",LẠP
屑,くず,"vụn, rác, phần thừa",TIẾT
栽培,さいばい,nuôi trồng,TÀI BỒI
収穫,しゅうかく,thu hoạch,THU HOẠCH
産地,さんち,nơi sản xuất,SẢN ĐỊA
土地,とち,đất đai,THỔ ĐỊA
倉庫,そうこ,kho,THƯƠNG KHỐ
所有,しょゆう,sở hữu,SỞ HỮU
収集,しゅうしゅう,thu thập,THU TẬP
滞在,たいざい,"ở, sự tạm trú",TRỆ TẠI
便,びん,sự thuận tiện,TIỆN
便 khac,びん,"thư từ, kiện hàng",
設備,せつび,thiết bị,THIẾT BỊ
設計,せっけい,sự thiết kế,THIẾT KẾ
制作・製作,せいさく,chế tác 製造、生産,
製造,せいぞう,"chế tạo, sản xuất 制作、生産",CHẾ TẠO
建築,けんちく,"(N)kiến trúc, sự xây dựng 築く",KIẾN TRÚC
人工,じんこう,nhân tạo,NHÂN CÔNG
圧力,あつりょく,áp lực,ÁP LỰC
刺激,しげき,"kích thích, khiêu khích",THỨ KÍCH
摩擦,まさつ,ma sát,MA SÁT
立場,たちば,lập trường,LẬP TRÀNG
役割,やくわり,vai trò,DỊCH CÁT
分担,ぶんたん,chia sẻ(N),PHÂN ĐAM
担当,たんとう,"chịu trách nhiệm, đảm đương",ĐAM ĐƯƠNG
交代・交替,こうたい,"()thay phiên, thay đổi",N
代理,だいり,đại diện,ĐẠI LÍ
審判,しんぱん,"thẩm phám, trọng tài",THẨM PHÁN
監督,かんとく,"huấn luyện viên, đạo diễn, quản đốc, quản lý",GIAM ĐỐC
予測,よそく,dự đoán 推測、予報、見当、見通し,DƯ TRẮC
予期,よき,"kì vọng, mong đợi, dự đoán 期待",DƯ KÌ
判断,はんだん,"phán đoán, nhận định",PHÁN ĐOẠN
評価,ひょうか,"đánh giá, bình phẩm 評判、批評、コメント",BÌNH GIÁ
指示,しじ,"chỉ dẫn, chỉ thị",CHỈ KÌ
無視,むし,"bỏ qua, phớt lờ",VÔ THỊ
無断,むだん,"không có sự cho phép, không được phép",VÔ ĐOẠN
承知,しょうち,"hiểu, đồng ý, chấp nhận 了解",THỪA TRI
納得,なっとく,"bị thuyết phục, thỏa mãn, hài lòng, bằng lòng",NẠP ĐẮC
疑問,ぎもん,"(N)nghi vấn, câu hỏi; 尋ねる、訪問する、訪れる、伺う、問う、問い合わせる",NGHI VẤN
推測,すいそく,"phỏng đoán, dự báo 予測、予報、見当、見通し",THÔI TRẮC
肯定,こうてい,"khẳng định, xác nhận 認定、認証、承認",KHẲNG ĐỊNH
参考,さんこう,tham khảo,THAM KHẢO
程度,ていど,"trình độ, mức",TRÌNH ĐỘ
評判,ひょうばん,"có tiếng là, có tin đồn là ... 批評、評価、コメント",BÌNH PHÁN
批評,ひひょう,"phê bình, lời bình, bình phẩm, 評価、評判、コメント",PHÊ BÌNH
推薦,すいせん,"tiến cử, giới thiệu",THÔI TIẾN
信用,しんよう,tin tưởng; tín nhiệm 信頼,TÍN DỤNG
信頼,しんらい,"tin cậy, tín nhiệm, tin tưởng 頼",TÍN LẠI
尊重,そんちょう,tôn trọng 尊敬,TÔN TRỌNG
作業,さぎょう,"công việc, sự làm việc",TÁC NGHIỆP
工夫,こうふ,công sức; công phu; lao tâm khổ tứ,CÔNG PHU
消化,しょうか,tiêu hóa,TIÊU HÓA
吸収,きゅうしゅう,(N) sự hấp thụ,HẤP THU
設置,せっち,lắp đặt,THIẾT TRÍ
設定,せってい,(N)thiết lập,THIẾT ĐỊNH
調節,ちょうせつ,"điều tiết, điều chỉnh 調整",ĐIỀU TIẾT
調整,ちょうせい,điều chỉnh,ĐIỀU CHỈNH
解放,かいほう,giải phóng; thoát khỏi,GIẢI PHÓNG
総合,そうごう,tổng hợp,TỔNG HỢP
連続,れんぞく,liên tục ぶっ続け、引き続き、絶えず、続々,LIÊN TỤC
持続,じぞく,(N) kéo dài 伸ばす,TRÌ TỤC
中断,ちゅうだん,gián đoạn,TRUNG ĐOẠN
安定,あんてい,ổn định,AN ĐỊNH
混乱,こんらん,"hỗn độn, hỗn loạn 混同",HỖN LOẠN
上昇,じょうしょう,"tiến lên, tăng lên 向上",THƯỢNG THĂNG
達成,たっせい,"thành tựu, đạt được",ĐẠT THÀNH
事情,じじょう,"tình hình, sự tình, nguyên cớ 状況、様子、事態、現況",SỰ TÌNH
事態,じたい,"tình hình, tình trạng 状況、様子、事情、現況",SỰ THÁI
障害,しょうがい,"trở ngại, khó khăn",CHƯỚNG HẠI
福祉,ふくし,phúc lợi,PHÚC CHỈ
社会,しゃかい,xã hội,XÃ HỘI
都会,とかい,"thành phố, thành thị",ĐÔ HỘI
世論,よろん,dư luận,THẾ LUẬN
民族,みんぞく,dân tộc,DÂN TỘC
増大,ぞうだい,sự mở rộng; sự tăng thêm; sự khuyếch trương 拡大,TĂNG ĐẠI
増量,ぞうりょう,"sự tăng số lượng, sự tăng cân",TĂNG LƯỢNG
増税,ぞうぜい,sự tăng thuế,TĂNG THUẾ
増員,ぞういん,tăng thêm số (của) nhân sự,TĂNG VIÊN
減点,げんてん,sự giảm trừ; sự giảm điểm,GIẢM ĐIỂM
減退,げんたい,"(N)giảm sút, sa sút",GIẢM THỐI
減量,げんりょう,"giảm trọng lượng, tụt cân",GIẢM LƯỢNG
開発,かいはつ,"sự phát triển, khai thác 発展",KHAI PHÁT
開店,かいてん,sự mở cửa hàng,KHAI ĐIẾM
開業,かいぎょう,bắt đầu kinh doanh;khởi nghiệp;,KHAI NGHIỆP
開催,かいさい,sự tổ chức; tổ chức おこなう,KHAI THÔI
開放,かいほう,sự mở cửa; sự tự do hoá,KHAI PHÓNG
閉鎖,へいさ,sự phong bế; sự phong tỏa,BẾ TỎA
密閉,みっぺい,"kín hơi, kín gió",MẬT BẾ
改善,かいぜん,"cải thiện, cải cách (N) 善",CẢI THIỆN
改良,かいりょう,sự cải thiện; sự cải tiến 良,CẢI LƯƠNG
改革,かいかく,cải cách 革,CẢI CÁCH
改正,かいせい,sự cải chính; sự sửa chữa; sự thay đổi; sự chỉnh sửa;正,CẢI CHÁNH
