japanese,reading,meaning,sinoVietnamese
透明な,とうめいな,(な) trong suốt 透き通る,THẤU MINH
爽やかな,さわやかな,"dễ chịu; sảng khoái, tươi trẻ 爽快、快適な、快い",
素直な,すなおな,"ngoan ngoãn, dễ bảo, dễ dàng",TỐ TRỰC
誠実な,せいじつな,"(な) thành thực, thật thà",THÀNH THỰC
慎重な,しんちょうな,(な) thận trọng,
穏やかな,おだやかな,"điềm tĩnh, yên lặng, ôn hòa",ỔN
主な,おもな,"(な)chính, chủ yếu 主要な、重要(N)",CHỦ
偉大な,いだいな,vĩ đại,VĨ ĐẠI
偉い,えらい,"giỏi, đáng nể, đáng ngưỡng mộ",VĨ
独特な,どくとくな,"(な)độc nhất, đặc biệt 特殊な、独自",
特殊な,とくしゅな,"(な)đặc thù, đặc biệt 独特な、独自",
奇妙な,奇妙な,kỳ lạ 妙な、変な、異常な、不思議な,KÌ DIỆU
妙な,みょうな,"lạ, tò mò 奇妙な、変な、異常な、不思議な",
怪しい,あやしい,"đáng ngờ, không bình thường",QUÁI
新たな,あらたな,mới 新しい,
合理的な,ごうりてきな,hợp lý 適切な,
手頃な,てごろな,"phải chăng, dịu, nhẹ 手軽な、あっさり",
高価な,こうかな,đắt giá,CAO GIÁ
贅沢な,ぜいたくな,"sự xa xỉ, lãng phí 豪華な",
豪華な,ごうかな,"(な)sang trọng, xa sỉ 贅沢",HÀO HOA
上品な,じょうひんな,"phong độ, lịch thiệp, tao nhã",
適度な,てきどな,"điều độ, thích hợp, vừa phải",
快適な,かいてきな,"dễ chịu, sảng khoái 快い、爽やかな、爽快な",
快い,こころよい,"hài lòng, dễ chịu 快適な、爽快、爽やかな",KHOÁI
順調な,じゅんちょうな,thuận lợi,THUẬN ĐIỀU
活発な,かっぱつな,"hoạt bát, năng động",
明らかな,あきらかな,"rõ ràng, sáng tỏ 的確な、具体的な",
曖昧な,あいまいな,"mơ hồ, không rõ ràng ややこしい、紛らわしい",
抽象的な,ちゅうしょうてきな,trừu tượng,
等しい,ひとしい,"bằng nhau, giống nhau 空似",ĐẲNG
平等な,びょうどうな,(な)bình đẳng 公平な,
公平な,こうへいな,công bằng 平等な,CÔNG BÌNH
者,もの,"người, kẻ",GIẢ
気分,きぶん,tâm trạng,KHÍ PHÂN
気配,けはい,"cảm giác, linh cảm センス、感、感覚",KHÍ PHỐI
生きがい,いきがい,mục đích sống,SANH
行儀,ぎょうぎ,"lễ nghi, cách cư xử",HÀNH NGHI
品,ひん,"phẩm giá, phong độ",PHẨM
姿勢,しせい,"điệu bộ,tư thế, thái độ 姿",TƯ THẾ
見かけ,みかけ,"vẻ bề ngoài, ngoại hình 外面、外見",KIẾN
口実,こうじつ,"lấy lý do, bào chữa,",KHẨU THỰC
意義,いぎ,ý nghĩa 意味,Ý NGHĨA
年代,ねんだい,"kỷ nguyên, giai đoạn, thế hệ",NIÊN ĐẠI
世代,せだい,"thời đại , thế hệ",THẾ ĐẠI
基礎,きそ,cơ bản,CƠ SỞ
基準,きじゅん,tiêu chuẩn 標準,CƠ CHUẨN
標準,ひょうじゅん,"tiêu chuẩn, trung bình 基準",TIÊU CHUẨN
典型,てんけい,điển hình,ĐIỂN HÌNH
発展,はってん,"phát triển, mở rộng 開発",PHÁT TRIỂN
普及,ふきゅう,"phổ cập, phổ biến",PHỔ CẬP
制限,せいげん,"hạn chế, giới hạn 限度、限界、限定",CHẾ HẠN
限度,げんど,"hạn chế, giới hạn 限界、制限、限定",HẠN ĐỘ
検討,けんとう,"thảo luận, bàn luận 打ち合わせ",KIỂM THẢO
選択,せんたく,lựa chọn,TUYỂN TRẠCH
考慮,こうりょ,xem xét,KHẢO LỰ
重視,じゅうし,"chú trọng, xem trọng 熱中",TRỌNG THỊ
見当,けんとう,"đoán, ước tính 見通し、予測、推測、予報",KIẾN ĐƯƠNG
訂正,ていせい,đính chính,ĐÍNH CHÁNH
修正,しゅうせい,"chỉnh lý, chỉnh sửa, sửa đổi 修理",TU CHÁNH
反抗,はんこう,"(N) phản kháng, chống đối 抗議、抵抗",PHẢN KHÁNG
汚染,おせん,ô nhiễm,Ô NHIỄM
害,がい,có hại,HẠI
伝染,でんせん,truyền nhiễm 感染,TRUYỀN NHIỄM
凸凹,でこぼこ,"lồi lõm, lởm chởm, ổ gà",ĐỘT AO
跡,あと,dấu vết,TÍCH
手間,てま,thời gian và công sức,THỦ GIAN
性能,せいのう,"hiệu suất、tính năng,",TÍNH NĂNG
操作,そうさ,"thao tác, điều kiển",THAO TÁC
発揮,はっき,"phát huy, gắng sức",PHÁT HUY
頂点,ちょうてん,"đỉnh, điểm",ĐÍNH ĐIỂM
周辺,しゅうへん,xung quanh 周り、辺り,CHU BIÊN
現場,げんば,hiện trường,HIỆN TRÀNG
状況,じょうきょう,"trạng thái, tình trạng 様子、事態、事情、現況",TRẠNG HUỐNG
組織,そしき,tổ chức,TỔ CHỨC
制度,せいど,chế độ,CHẾ ĐỘ
形式,けいしき,hình thức,HÌNH THỨC
方針,ほうしん,"phương châm, chính sách",PHƯƠNG CHÂM
徹底,てってい,"triệt để, quán triệt",TRIỆT ĐỂ
分析,ぶんせき,phân tích,PHÂN TÍCH
維持,いじ,duy trì,DUY TRÌ
管理,かんり,quản lý,QUẢN LÍ
行方(不明),ゆくえ,"tung tích, hướng đi (không rõ rành, không minh bạch)",
端,はし,"cạnh, lề 脇(わき)、縁",ĐOAN
場,ば,"địa điểm, chỗ, nơi 場所",TRÀNG
分野,ぶんや,lĩnh vực,PHÂN DÃ
物資,ぶっし,"vật dụng, vật phẩm",VẬT TƯ
用途,ようと,công dụng,DỤNG ĐỒ
関連,かんれん,"liên quan, quan hệ 関係",QUAN LIÊN
消耗,しょうもう,"tiêu thụ, tiêu hao 消費",TIÊU HÁO
手当,てあて,"chữa trị, tiền trợ cấp 診療、診察",THỦ ĐƯƠNG
説,せつ,"thuyết, ý kiến",THUYẾT
差,さ,"khác biệt, sai khác, khoảng cách",SOA
間,ま,"thời gian, phòng, khoảng trống",GIAN
分,ぶ,"phần, trạng thái, trình độ",PHÂN
筋,すじ,"cốt truyện, gân, nguồn",CÂN
余裕,よゆう,"thừa, dư ra 超過、過大、過剰な",DƯ DỤ
催促,さいそく,thúc giục; giục giã,THÔI XÚC
成立,せいりつ,"hình thành, thành lập",THÀNH LẬP
矛盾,むじゅん,mâu thuẫn,MÂU THUẪN
