japanese,reading,meaning,sinoVietnamese
哀れな,あわれな,"Đáng thương, tội nghiệp",AI
生意気な,なまいきな,"Kiêu căng, nóng tính, xấc xược",SINH Í KHÍ
厚かまし(い),あつかましい,Mặt dày,HẬU
乱暴な,らんぼうな,"Hung bạo, nổi loạn, thô lỗ",LOẠN BẠO
利己的な,りこてきな,Ích kỷ,LỢI KỶ ĐÍCH
傲慢な,ごうまんな,"Ngạo mạn, kiêu ngạo",NGẠO MẠN
卑怯な,ひきょうな,"Bần tiện, gian xảo",TI KHIẾP
無茶な,むちゃな,"Liều lĩnh, nguy hiểm",VÔ TRÀ
めちゃくちゃな,めちゃくちゃな,"Lộn xộn, bừa bãi",
やかましい,やかましい,"Ầm ĩ, phiền hà",
大胆な,だいたんな,Gan dạ,ĐẠI ĐẢM
軽快な,けいかいな,Nhịp nhàng,KHINH KHÓAI
窮屈な,きゅうくつな,"Chật, gò bó",CÙNG KHUẤT
忠実な,ちゅうじつな,Trung thành,TRUNG THỰC
あやふやな,あやふやな,"Không rõ ràng, mập mờ",
残酷な,ざんこくな,"Độc ác, nhẫn tâm",TÀN KHỐC
悲惨な,ひさんな,Bi thảm,BI THẢM
情けない,なさけない,"Đáng thương, thảm hại, không có sự cảm thông",TÌNH
根強い,ねづよい,"Bén rễ, sâu sắc",CĂN CƯỜNG
密接な,みっせつな,Mật thiết,MẬT TIẾP
寛大な,かんだいな,"Đại lượng, dễ dãi, rộng rãi",KHOAN ĐẠI
ふさわしい(bằng với 適当),ふさわしい,"Phù hợp, thích hợp",
内心,ないしん,"Nội tâm, đáy lòng",NỘI TÂM
やる気,やるき,"Động lực, đam mê",KHÍ
優越感,ゆうえつかん,"Ưu việt, nắm ưu thế",ƯU VIỆT CẢM
誇り,ほこり,"Tự hào, kiêu hãnh",KHOA
決断,けつだん,"Quyết định, quyết đoán",QUYẾT ĐOẠN/ĐOÁN
苦心,くしん,"Khó nhọc, lao tâm khổ tứ",KHỔ TÂM
嫉妬,しっと,"Ghen tỵ, ghen tuông",TẬT ĐỔ
絶望,ぜつぼう,Tuỵêt vọng,TUYỆT VỌNG
通関,つうかん,Sự thông qua,THÔNG QUAN
先入観,せんにゅうかん,"Thành kiến, định kiến",TIÊN NHẬP QUAN
過ち,あやまち,Lỗi lầm 、sai lầm,QUÁ/QUA
欲,よく,"Mong muốn, tham lam",DỤC
恥,はじ,Xấu hổ,SỈ
罰,ばつ,"Hình phạt, trừng phạt",PHẠT
念,ねん,"Chú ý, tâm niệm",NIỆM
本音,ほんね,"Thật tâm, Ý định thực sự, động cơ",BẢN ÂM
弁解,べんかい,"Bào chữa, biện hộ",BIỆN GIẢI
沈黙,ちんもく,"Yên lặng, im lặng",TRẦM MẶC
没頭,ぼっとう,"Chìm đắm, đắm mình",MỘT ĐẦU
専念,せんねん,"Say sưa, miệt mài",CHUYÊN NIỆM
充実,じゅうじつ,"Đầy đủ, sung túc",SUNG THỰC
自立,じりつ,Tự lập,TỰ LẬP
愛称,あいしょう,Hợp nhau (tình cảm),ÁI XƯNG
教官,きょうかん,"Giáo viên, thầy giáo, giảng viên",GIÁO QUAN
協調,きょうちょう,"Phối hợp, cộng tác, hợp tác",HIỆP ĐIỀU
共同,きょうどう,"Liên hiệp, liên đới, hợp tác, cộng tác",CỘNG ĐỒNG
激励,げきれい,"Động viên, khuyến khích, khích lệ",KHÍCH LỆ
支援,しえん,"Hỗ trợ, chi viện",CHI VIỆN
指摘,してき,"Chỉ ra, chỉ trích",CHỈ TRÍCH
了解,りょうかい,"Hiểu rõ, nắm rõ",LIỄU GIẢI
承諾,しょうだく,"Đồng ý, chấp hành",THỪA NẶC
嫌がらせ,いやがらせ,"Quấy rối, quấy rầy",HIỀM
妨害,ぼうがい,"Chướng ngại, cản trở",PHƯƠNG HẠI
説得,せっとく,Thuyết phục,THUYẾT ĐẮC
理屈,りくつ,"Lý do, logic, hợp lý",LÝ KHUẤT
論理,ろんり,"Sự lý luận, sự logic",LUẬN LÝ
推理,すいり,"Suy luận, suy đoán",THÔI LÝ
根拠,こんきょ,"Căn cứ, lý do",CĂN CỨ
誇張,こちょう,"khoa trương, phóng đại",KHOA TRƯƠNG
暗示,あんじ,"Ám hiệu, gợi ý",ÁM CHỈ
錯覚,さっかく,"Ảo giác, ảo ảnh",THÁC GIÁC
視野,しや,"Tầm nhìn, sự hiểu biết",THỊ DÃ
空白,くうはく,"Trống không, khoảng trống, chỗ trống",KHÔNG BẠCH
接触,せっしょく,Tiếp xúc,TIẾP XÚC
交渉,こうしょう,"Đàm phán, thương lượng",GIAO THIỆP
妥協,だきょう,Thỏa hiệp,THỎA HIỆP
更新,こうしん,"Gia hạn, đổi mới",CANH TÂN
精算,せいさん,"Thanh toán, quyết toán",THANH TOÁN
損害,そんがい,"Thiệt hại, tổn hại",TỔN HẠI
利害,りがい,Lợi hại,LỢI HẠI
光景,こうけい,Khung cảnh,QUANG CẢNH
報道,ほうどう,"Báo cáo, thông báo, cho biết",BÁO ĐẠO
破壊,はかい,"Phá hoại, phá hủy",PHÁ HỌAI
破棄,はき,"Hủy bỏ, phá vỡ, xé",PHÁ KHÍ
対応,たいおう,Đối ứng,ĐỐI ỨNG
対処,たいしょ,"Đối xử, đối phó",ĐỐI XỬ
取引,とりひき,"Giao dịch, mua bán",THỦ DẪN
独占,どくせん,"Độc chiếm, độc quyền",ĐỘC CHIÊM
進出,しんしゅつ,"Tiến lên, Mở rộng, đầu tư",TIẾN XUẤT
進化,しんか,Tiến hóa,TIẾN HÓA
一切,いっさい,"Tất cả, toàn bộ, hoàn toàn (không)",NHẤT THIẾT
加減,かげん,"Tăng giảm, giảm nhẹ (tình trạng, điều kiện)",GIA GIẢM
削減,さくげん,"Giảm thiểu, cắt giảm",TƯỚC GIẢM
余分,よぶん,"Thặng dư, thừa, lũy kế, phần dư",DƯ PHÂN
余地,よち,"Chỗ thừa, trống",DƯ ĐỊA
発言,はつげん,Phát ngôn,PHÁT NGÔN
発行,はっこう,Phát hành,PHÁT HÀNH
発信,はっしん,"Phát tín hiệu, truyền tải",PHÁT TÍN
発送,はっそう,Gửi (bưu điện),PHÁT TỐNG
発酵,はっこう,Lên men,PHÁT DIẾU
発育,はついく,"Trưởng thành, phát triển(Thường dùng để chỉ sự phát triển của cơ thể)",PHÁT DỤC
発足,ほっそく,khởi động 、thành lập,PHÁT TÚC
確信,かくしん,"Tin tưởng, đảm bảo",XÁC TÍN
確定,かくてい,"Xác định, quyết định",XÁC ĐỊNH
確保,かくほ,"Bảo hành, bảo đảm",XÁC BẢO
確立,かくりつ,"Xác lập, thành lập",XÁC LẬP
