japanese,reading,meaning,sinoVietnamese
人間,にんげん,con người,NHÂN GIAN
人,じん,người,NHÂN
祖先,そせん,tổ tiên,TỔ TIÊN
親戚,しんせき,họ hàng,THÂN THÍCH
夫婦,ふうふ,vợ chồng,PHU PHỤ
長男,ちょうなん,trưởng nam,TRƯỜNG NAM
主人,しゅじん,"chồng, chủ tiệm",CHỦ NHÂN
双子,ふたご,sinh đôi,SONG TỬ
迷子,まいご,trẻ bị lạc,MÊ TỬ
他人,たにん,người khác,THA NHÂN
敵,かたき,kẻ thù,ĐỊCH
味方,みかた,"bạn bè, đồng minh",VỊ PHƯƠNG
筆者,ひっしゃ,tác giả,BÚT GIẢ
寿命,じゅみょう,tuổi thọ,THỌ MỆNH
将来,しょうらい,tương lai,TƯƠNG LAI
才能,さいのう,tài năng,TÀI NĂNG
能力,のうりょく,năng lực,NĂNG LỰC
長所,ちょうしょ,sở trường,TRƯỜNG SỞ
個性,こせい,cá tính 人柄、性格、性分、気性,CÁ TÍNH
遺伝,いでん,di truyền,DI TRUYỀN
動作,どうさ,động tác,ĐỘNG TÁC
真似,まね,"bắt chước, copy",CHÂN TỰ
睡眠,すいみん,"ngủ, giấc ngủ",THỤY MIÊN
食欲,しょくよく,thèm ăn,THỰC DỤC
外食,がいしょく,ăn ngoài,NGOẠI THỰC
家事,かじ,việc nhà,GIA SỰ
出産,しゅっさん,sinh đẻ,XUẤT SẢN
介護,かいご,"chăm sóc, trông nom 保護",GIỚI HỘ
共働き,ともばたらき,"việc cùng kiếm sống,vợ chồng cùng làm việc",CỘNG ĐỘNG
出勤,しゅっきん,đi làm(N),XUẤT CẦN
出世,しゅっせ,sự thăng tiến 昇進、活躍,XUẤT THẾ
地位,ちい,"địa vị, vị trí",ĐỊA VỊ
受験,じゅけん,"kì thi, tham gia kỳ thi",THỤ NGHIỆM
専攻,せんこう,chuyên ngành,CHUYÊN CÔNG
支度,したく,sự chuẩn bị; sự sửa soạn 用意,CHI ĐỘ
全身,ぜんしん,toàn bộ cơ thể,TOÀN THÂN
皺,しわ,nếp nhăn,TRỨU
服装,ふくそう,"quần áo, trang phục",PHỤC TRANG
礼,れい,"lễ, cảm ơn",LỄ
(お)世辞,せじ,"nịnh, ca tụng",
言い訳,いいわけ,lý do,NGÔN DỊCH
話題,わだい,chủ đề (để nói chuyện),THOẠI ĐỀ
秘密,ひみつ,bí mật,BÍ MẬT
尊敬,そんけい,tôn trọng 尊重,TÔN KÍNH
謙遜,けんそん,khiên tốn,KHIÊM TỐN
期待,きたい,"mong chờ, kì vọng 予期",KÌ ĐÃI
苦労,くろう,"khó khăn, gian khổ 困る",KHỔ LAO
意志,いし,ý chí,Ý CHÍ
感情,かんじょう,"cảm xúc, cảm giác,tình cảm,",CẢM TÌNH
材料,ざいりょう,nguyên liệu,TÀI LIÊU
石,いし,hòn đá,THẠCH
紐,ひも,dây,NỮU
券,けん,vé,KHOÁN
名簿,めいぼ,"danh bạ, danh sách",DANH BỘ
表,おもて,bảng biểu,BIỂU
針,はり,kim,CHÂM
栓,せん,"nút, nắp",XUYÊN
湯気,ゆげ,hơi nước 湿気、水気,THANG KHÍ
日当たり,ひあたり,nơi có ánh sáng chiếu vào,NHẬT ĐƯƠNG
空,そら,trống rỗng,KHÔNG
斜め,ななめ,nghiêng,TÀ
履歴,りれき,lý lịch,LÍ LỊCH
娯楽,ごらく,"vui chơi, thú vui",NGU LẠC
司会,しかい,"chủ tịch, chủ hội",TI HỘI
歓迎,かんげい,hoan nghênh,HOAN NGHÊNH
窓口,まどぐち,cửa bán vé,SONG KHẨU
手続き,てつづき,thủ tục,THỦ TỤC
徒歩,とほ,đi bộ,ĐỒ BỘ
駐車,ちゅうしゃ,đỗ xe,TRÚ XA
違反,いはん,(N)vi phạm 犯す、侵す,VI PHẢN
平日,へいじつ,ngày thường,BÌNH NHẬT
日付,ひづけ,ngày tháng,NHẬT PHÓ
日中,にっちゅう,ban ngày,NHẬT TRUNG
日程,にってい,"lịch trình, kế hoạch",NHẬT TRÌNH
日帰り,ひがえり,đi về trong ngày,NHẬT QUY
順序,じゅんじょ,thứ tự,THUẬN TỰ
時期,じき,thời kì,THÌ KÌ
現在,げんざい,hiện tại,HIỆN TẠI
臨時,りんじ,tạm thời,LÂM THÌ
費用,ひよう,chi phí tiêu dùng,PHÍ DỤNG
定価,ていか,giá cố định,ĐỊNH GIÁ
割引,わりびき,giảm giá 値下げ、おまけ、コストダウン,CÁT DẪN
おまけ,おまけ,"giảm giá, khuyến mại 値下げ、コストダウン、割引",PHỤ
無料,むりょう,miễn phí,VÔ LIÊU
現金,げんきん,tiền mặt,HIỆN KIM
合計,ごうけい,tổng cộng,HỢP KẾ
収入,しゅうにゅう,thu nhập,THU NHẬP
支出,ししゅつ,chi phí (đầu tư),CHI XUẤT
予算,よさん,ngân sách,DƯ TOÁN
利益,りえき,lợi nhuận,LỢI ÍCH
赤字,あかじ,"lỗ, thâm hụt 損",XÍCH TỰ
経費,けいひ,kinh phí,KINH PHÍ
勘定,かんじょう,"tính toán, thanh toán 決算、計算、会計",KHÁM ĐỊNH
弁償,べんしょう,bồi thường,BIỆN THƯỜNG
請求,せいきゅう,sự thỉnh cầu 要求、申し出,THỈNH CẦU
景気,けいき,kinh tế,CẢNH KHÍ
募金,ぼきん,"quyên tiền, gây quỹ",MỘ KIM
募集,ぼしゅう,tuyển dụng,MỘ TẬP
価値,かち,giá trị,GIÁ TRỊ
