japanese,reading,meaning,sinoVietnamese
戸惑う,とまどう,"Lạc đường, mất phương hướng, hoang mang, bối rốiPhân vân, băn khoăn",HỘ HOẶC
慎む,つつしむ,"Cẩn thận, cẩn trọng, nín nhịn",THẬN
弁える,わきまえる,"Biết vị trí của mình, nhận thức rõ",BIỆN
惜しむ,おしむ,"Hối tiếc, buồn bã",TÍCH
はばかる,はばかる,"Do dự, ngập ngừng, lưỡng lự, lo lắng về",
手こずる,てこずる,Gặp rắc rốiLỳ lợm,THỦ
懲りる,こりる,"Nản lòng, tỉnh ngộ ra",TRỪNG
咎める,とがめる,"Cắn rứt, cảm thấy có lỗi",CỮU
償う,つぐなう,"Bồi thường, đền bù",THƯỜNG
凝る,こる,"Đông cứng lại, chìm đắm vào",NGƯNG
凝らす,こらす,"Tập trung, áp dụng",NGƯNG
こだわる,こだわる,"Câu nệ, kén chọn, suy nghĩ nhiều về",
徹する,てっする,"Cống hiến hết mình, xuyên qua",TRIỆT
極める,きわめる,"Bồi dưỡng, rèn luyện, thành công, vượt qua",CỰC
究める,きわめる,"Bồi dưỡng, rèn luyện, thành công, vượt qua",CỨU
窮める,きわめる,"Bồi dưỡng, rèn luyện, thành công, vượt qua",CÙNG
遂げる,とげる,"Hoàn thành, đạt được, đạt tới",TỌAI
掲げる,かかげる,"Nâng, đẩy mạnh, quảng cáo",YẾT
図る,はかる,"Lập kế hoạch, tiến hành",ĐỒ
操る,あやつる,Vận hành,THAO
仕切る,しきる,"Phân chia, quản lý",SĨ THIẾT
施す,ほどこす,"Cho, giúp đỡ, tiến hành, thêm vào",THI
間に合う,まにあう,"Kịp thời, đủ, vừa đủ, theo kịp",GIAN HỢP
こなす,こなす,"Nắm vững, thành thạo",
捗る,はかどる,"Tiến bộ, phát triển tốt",DUỆ
行き詰まる,いきづまる,Đạt đến giới hạnBế tắcĐường cùng,HÀNH CẬT
滞る,とどこおる,"Trì hoãn, đình trệ, đình đốn, đọng, ứ",TRỆ
据え置く,すえおく,"Đặt cố định, xây lên, dựng lên",CƯ TRÍ
携わる,たずさわる,"Tham gia vào việc, làm việc",HUỀ
携える,たずさえる,"Cùng đi, đi theo, mang, xách, cầm",HUỀ
募る,つのる,"Chiêu mộ, mời gọi, trở nên mạnh hơn",MỘ
押し寄せる,おしよせる,"Bao vây, chen lấn, xô đẩy, ào lên, tiến lên",ÁP KÍ
たどる,たどる,Theo dấu vết,
探る,さぐる,"Tìm kiếm, sờ thấy, dò ra",THÁM
裏付ける,うらづける,"Xác nhận, chứng minh, hỗ trợ",LÝ PHÓ
窺う,うかがう,"Xem xét, phỏng đoán đoán.Hiểu được, cảm nhận",KHUY
謀る,はかる,"Lừa, tính kế, mưu mô, mưu đồ",MƯU
欺く,あざむく,"Lừa đảo, lừa gạt, bẫy",KHI
阻む,はばむ,"Cản trở, ngăn cản, ngăn chặn",TRỞ
遮る,さえぎる,"Chắn, chặn, cắt ngang, che đậy, ngăn đón",GIÀ
障る,さわる,"Trở ngại, ảnh hưởng, gây hại",CHƯỚNG
蝕む,むしばむ,"Hủy hoại, ăn mòn",THỰC
籠る,こもる,"Ẩn giấu,, giam mình, tách biệt chính mình",LUNG
潜む,ひそむ,"Ẩn nấp, trốn, Ẩn giấu, bị che dấu",TIỀM
潜める,ひそめる,"Che giấu , hạ thấp xuống, trở nên kín đáo",TIỀM
揺らぐ,ゆらぐ,"Dao động, nao núng, rung lắc, đu đưa",DAO
揉める,もめる,"Gặp rắc rối, tranh cãi",NHU
翻る,ひるがえる,"Bay nhanh, bay phấp phới",PHIÊN
翻す,ひるがえす,"Lật ngược, lật đổ, thay đổi",PHIÊN
覆る,くつがえる,"Bị Lật ngược, lật đổ",PHÚC
覆す,くつがえす,"Lật ngược, lật lại, lật đổ, phủ định",PHÚC
歪む,ゆがむ,"Bẻ cong, xuyên tạc, bôi nhọ",OAI
拗れる,こじれる,"Làm phức tạp, chuyển biến xấu",ẢO
食い違う,くいちがう,"Không thống nhất, mâu thuẫn, xung đột",THỰC VI
隔たる,へだたる,"Khác biệt, cách nhau",CÁCH
隔てる,へだてる,"Phân chia, ngăn cách, khác biệt",CÁCH
釣り合う,つりあう,"Cân đối, cân bằng, hợp nhau",ĐIẾU HỢP
絡む,からむ,"Liên quan, dính lứu",LẠC
絡まる,からまる,"Bị rối, liên quan, dính líu, quẩn quanh",LẠC
絡める,からめる,"Trộn với, kết hợp với",LẠC
紛れる,まぎれる,"Bị làm xao lãng, bị phân tâm",PHÂN
紛らす,まぎらす,"Làm xao lãng, làm phân tâm",PHÂN
かさばる,かさばる,"Cồng kềnh, chồng lên",
嵩む,かさむ,"Tăng lên, tăng thêm",TUNG
萎びる,しなびる,"Để tàn héo, nhăn nheo",NUY
廃れる,すたれる,"Không lưu hành nữa, lỗi thời, lỗi mốt, phế bỏ, vô dụng",PHẾ
蘇る,よみがえる,"Sống lại, hồi sinh",TÔ
齎らす,もたらす,"Đem đến, đem lại, mang đến, gây ra",TÊ
潤う,うるおう,"Trở nên ẩm ướt, hưởng lợi",NHUẬN
潤す,うるおす,"Làm ướt, làm giàu, làm dịu đi",NHUẬN
和らぐ,やわらぐ,"Được nới lỏng, xả bớt, giảm bớt, nguôi đi, dịu đi",HÒA
蕩ける,とろける,Tan chảy,ĐÃNG
くつろぐ,くつろぐ,"Thư giãn, nghỉ ngơi",
一気に,いっきに,"1 lần, 1 hơi, thẳng 1 mạch, tất cả",NHẤT KHÍ
きっぱりと,きっぱりと,"Rõ ràng, thẳng thắn",
てきぱきと,てきぱきと,"Nhanh chóng, nhanh nhảu, tháo vát, thạo việc",
だらだらと,だらだらと,"Lười biếng, dài dòng",
くずくずと,くずくずと,"Lề mề, chần chừ, kéo dài",
悠々と,ゆうゆうと,"Thong thả, dễ dàng, nhàn hạ",DU
いそいそと,いそいそと,"Hào hứng, phấn chấn",
とっさに,とっさに,"Đột nhiên, ngay lập tức",
じっくりと,じっくりと,"cẩn thận, kỹ lưỡng",
おろおろと,おろおろと,"Hoảng hốt, bàng hoàng, cuống cuồng, quýnh lên",
まごまご,まごまご,"Lúng túng, bối rối",
ぶつぶつと,ぶつぶつと,"Sự phát ban (trên mặt) lỗ chỗ, lốm đốmLàu bàu, lầm bầm",
うっとりと,うっとりと,"Sự lơ đãng, đãng trí, mải mê, thu hút",
ゆったりと,ゆったりと,Thùng thình (quần áo)Thư giãn (nghỉ ngơi),
染々と,しみじみと,Sâu sắc,THÂM
つくづくと,つくづくと,"Tỉ mỉ, sâu sắc",
がっくりと,がっくりと,"Đau buồn, đau khổ, rã rời",
うんざり,うんざり,"Chán nản, ngán ngẩm",
てっきり,てっきり,Chắc chắn,
いっそ,いっそ,"Thà rằng, đành rằng",
きっかりと,きっかりと,"Chính xác, hoàn hảo, đúng",
きっちりと,きっちりと,"Vừa vặn, vừa đúng",
誠に,まことに,"Thực sự, thực tế, chân thực, rõ ràng",THÀNH
ことに,ことに,"Đặc biệt là, một cách đặc biệt, đặc biệt",
正に,まさに,"Đúng đắn, chính xác, chắc chắn là, chỉ là",CHÍNH
