japanese,reading,meaning,sinoVietnamese
ひたすら,ひたすら,"Chỉ, hơn",
あくまで,あくまで,"Kiên trì, tới cùng",
めっきり,めっきり,"đáng kể, rõ rệt, khá",
かろうじて,かろうじて,"Xém, suýt soátkhó khăn lắm mới",
敢えて,あえて,"Mạnh dạn, dám",CẢM
あわや,あわや,"Trong một thoáng, suýt",
もろに,もろに,Trực tiếpHoàn toàn,
いやに,いやに,"Rất, kinh khủng",
やけに,やけに,"Quá, kinh khủng",
むやみに,むやみに,"Ngẫu nhiên, quá mức",
やたらに,やたらに,"Quá mức, vô cùng , thiếu thận trọng",
何しろ,なにしろ,Dù sao đi nữa,HÀ
専ら,もっぱら,"Hầu hết, chủ yếu",CHUYÊN
一応,いちおう,"Một khi, nhất thời, tạm thời",NHẤT ỨNG
一旦,いったん,"Tạm, một lúc",NHẤT ĐÁN
ひとまず,ひとまず,"Trong lúc này, hiện giờTrước tiên, tạm thời",
追って,おって,"Sau này, về sau, tương lai (liên hệ sau)từ sau đây, ngay sau đây",TRUY
現に,げんに,"Thực sự là, thực tế là, thực sự, thật sự, thực tế",HIỆN
言わば,いわば,"Có thể nói như là...., ví dụ như là....",NGÔN
いかに,いかに,"Đến mức nào, đến thế nàoNhư thế nào, thế nào, biết bao nhiêu",
一律に,いちりつに,"Tiêu chuẩn, đồng nhất",NHẤT LUẬT
各々,おのおの,"Từng, mỗi một, riêng biệt",CÁC
もはや,もはや,"Đã, rồi",
ともすれば,ともれるば,"Có khuynh hướng Dễ bị, chịu trách nhiệm",
依然として,いぜんとして,Như trước đây đã vậy,Ỷ NHIÊN
漠然と,ばくぜんと,"Hàm hồ, không rõ ràng",MẠC NHIÊN
まして,まして,"Huống chi, đương nhiên là",
なおさら,なおさら,"Hơn nữa, càng thêm",
ひいては,ひいては,"Do đó, vì vậy cho nên, bởi thế, vậy thì",
お自ずから,おのずから,"Tự nhiên, không cấm đoán",TỰ
明くる,あくる,"Tiếp, tiếp theo",MINH
来る,きたる,"Đến, tới (tháng 9 tới)",LAI
去る,さる,"Rời khỏi, qua (qua ngày 15.....)",KHỨ
例の,れいの,"Lần trước, Rằng, về....., cái đó (khi chủ đề được cả 2 người biết tới)",LỆ
ありとあらゆる,ありとあらゆる,"Từng, mỗi, tất cả, mọi thứ (phương pháp)",
作用,さよう,"Tác dụng, ảnh hưởng",TÁC DỤNG
依存,いぞん,Phụ thuộc,Ỷ TỒN
解消,かいしょう,"Giải trừ, giải quyết",GIẢI TIÊU
促進,そくしん,"Xúc tiến, thúc đẩy",XÚC TIẾN
意向,いこう,"Ý muốn, dự định",Ý HƯỚNG
意図,いと,"Mục đích, ý đồ",Ý ĐỒ
向上,こうじょう,"Cải thiện, cải tiến",HƯỚNG THƯỢNG
活気,かっき,"Náo nhiệt, hoạt bát, sôi nổi",HOẠT KHÍ
迫力,はくりょく,Áp lực,BÁCH LỰC
勝利,しょうり,Chiến thắng,THẮNG LỢI
適応,てきおう,Thích ứng,THÍCH ỨNG
調和,ちょうわ,"Điều hòa, điều tiết",ĐIỀU HÒA
権力,けんりょく,,QUYỀN LỰC
権威,けんい,Quyền uy,QUYỀN UY
圧迫,あっぱく,"Áp lực, áp chế, bó chặt",ÁP BÁCH
強制,きょうせい,"Cưỡng chế, ép buộc",CƯỜNG CHẾ
規制,きせい,"Quy chế, quy định",QUY CHẾ
拒否,きょひ,Từ chối,CỰ PHỦ
対抗,たいこう,"Đối thủ, đối kháng",ĐỐI KHÁNG
抗議,こうぎ,"Kháng nghị, phản đối",KHÁNG NGHỊ
革新,かくしん,Cải cách,CÁCH TÂN
原則,げんそく,Nguyên tắc,NGUYÊN TẮC
経過,けいか,Trải qua,KINH QUÁ/QUA
中継,ちゅうけい,"Truyền hìnhPhát thanh,phát sóng",TRUNG KẾ
規模,きぼ,Quy mô,QUY MÔ
擦る,こする,"Chà xát, cọ rửa",SÁT
摩る,さする,"Chà, xoa bóp",MA
撫でる,なでる,"Xoa, sờ",PHỦ
弄る,いじる,"Nghịch, chơi",LỘNG
かき回す,かきまわす,Khuấy đều,HỒI
摘む,つむ,"Ngắt, hái",TRÍCH
摘む,つまむ,"Nắm, nhặt",TRÍCH
つかむ,つかむ,"Nắm, tóm, bắt",
捻れる,ねじれる,Bị xoắn,NIỆP
捻じる,ねじる,"Vặn, xoắn",NIỆP
捻る,ひねる,"Vặn, xoay (vòi nước)",NIỆP
千切れる,ちぎれる,Bị rách,THIÊN THIẾT
千切る,ちぎる,Xé rách,THIÊN THIẾT
束ねる,たばねる,"Cột lại, bó, buộc",THÚC
扇ぐ,あおぐ,Quạt,PHIẾN
くむ,くむ,"Múc, rót",
咥える,くわえる,Ngậm,HÝ
舐める,なめる,"Liếm, coi thường",THỈ
俯く,うつむく,Cúi đầu (nhìn xuống),PHỦ
這う,はう,Bò,GIÁ
くぐる,くぐる,"Vượt qua, băng qua",
囁く,ささやく,Thì thầm,CHIẾP
喚く,わめく,"La, thét",HOÁN
言いつける,いいつける,Ra lệnh báo cáo,NGÔN
打ち明ける,うちあける,"Mở lòng, thẳng thắn, chân thật, tâm sự",ĐẢ MINH
見かける,みかける,"Nhìn thấy, bắt gặp",KIẾN
見分ける,みわける,Phân biệt,KIẾN
見渡す,みわたす,"Nhìn xa, nhìn tổng thể",KIẾN ĐỘ
見落とす,みおとす,"Bỏ lỡ, bỏ sót",KIẾN LẠC
乗り過ごす,のりすごす,Bỏ lỡ,THỪA QUÁ/QUA
乗り越える,のりこえる,"Trèo qua, vượt qua",THỪA VIỆT
歩む,あゆむ,Đi bộ xung quanh,BỘ
持つ,もつ,"Cầm, nắm, mang",TRÌ
保つ,たもつ,"Duy trì, bảo tồn",BẢO
築く,きずく,Xây dựng,TRÚC
絶える,たえる,"Dừng, gián đoạn",TUYỆT
断つ/絶つ,たつ,"Cắt, chấm dứt",ĐOẠN/TUYỆT
途切れる,とぎれる,"Dừng, gián đoạn",ĐỒ THIẾT
