japanese,reading,meaning,sinoVietnamese
フォーム,フォーム,Tư thế,Form
ボ－ズ,ボ－ズ,"Tư thế, tạm dừng",Pause
タイミング,タイニング,Thời gian thích hợp (làm việc gì đó),Timing
ラスト,ラスト,Cuối cùng,Last
スム－ズな,スム－ズな,"Trơn tru, dễ dàng",Smooth
サイクル,サイクル,Chu kỳ,Cycle
ジェンダー,ジェンダー,"Giới tính, giống (đực, cái)",Gender
軽率な,けいそつな,"Khinh suất, lơ là, nông nổi, bồng bột",KHINH SUẤT
怠慢な,たいまんな,"Cẩu thả, chậm chạp",ĐÃI MẠN
いい加減な,いいかげんな,"Vô trách nhiệm, quá đáng",GIA GIẢM
投げやりな,なげやりな,Cẩu thả,ĐẦU
素っ気ない,そっけない,"Thờ ơ, lạnh nhạtCộc lốc, lỗ mãng, không thân thiện",TỐ KHÍ
冷ややかな,ひややかな,Lạnh lùng,LÃNH
馴れ馴れしい,なれなれしい,"Cực kỳ thân thiết, suồng sã",TUẦN TUẦN
みっともない,みっともない,"Xấu hổ, khó coi, mất thể diệnMất mặt",
たくましい,たくましい,"Lực lưỡng, vạm vỡ",
健やかな,すごやかな,Khỏe mạnh,KIỆN
無邪気な,むじゃきな,Ngây thơ,VÔ TÀ KHÍ
無神経な,むしんけいな,"Không cảm xúc, trơ lì, vô tâm, vô ý",VÔ THẦN KINH
無造作な,むぞうさな,"Đơn giản, dễ dàngmột cách thản nhiên",VÔ TẠO TÁC
優雅な,ゆうがな,"Thanh lịch, nhã nhặn",ƯU NHÃ
見事な,みごとな,"Đáng khâm phục, tuyệt vời, tuyệt hảo",KIẾN SỰ
申しい分ない,もうしぶんない,Không chê vào đâu được,THÂN PHÂN
模範的な,もはんてきな,"Mẫu mực, gương mẫu",MÔ PHẠM ĐÍCH
まめな,まめな,Chăm chỉ,
円滑な,えんかつな,Trôi chảy,VIÊN HOẠT
迅速な,じんそくな,"Nhanh chóng, mau lẹ",TẤN TỐC
速やかな,すみやかな,Nhanh chóng,TỐC
素早い,すばやい,"Nhanh chóng, lẹ",TỐ TẢO
敏しょうな,びんしょうな),Lanh lợi,MẪN
