japanese,reading,meaning,sinoVietnamese
反応,はんのう,"Phản ứng, hồi đáp",PHẢN ỨNG
反射,はんしゃ,"Phản xạ, phản chiếu, đối chiếu",PHẢN XẠ
反発,はんぱつ,"Phản đối, phản kháng",PHẢN PHÁT
反映,はんえい,"Phản ánh, phản chiếu",PHẢN ÁNH
反則,はんそく,"Lỗi, phạm luật",PHẢN TẮC
特許,とっきょ,Bằng sáng chế,ĐẶC HỨA
特有,とくゆう,"Vốn có tiêu biểu, mang tính đại diện",ĐẶC HỮU
特定,とくてい,"Định rõ, cụ thể, đặc thù",ĐẶC ĐỊNH
復帰,ふっき,"Quay lại, trở lại",PHỤC QUY
復旧,ふっきゅう,"Phục hồi, khôi phục",PHỤC HỰU
復興,ふっこう,"Phục hưng, xây dựng lại",PHỤC HƯNG
追及,ついきゅう,"Theo đuổi, thẩm vấn",TRUY CẬP
追求,ついきゅう,Theo đuổi,TRUY CẦU
追究,ついきゅう,"Truy cứu, điều tra, theo đuổi.",TRUY CỨU
追跡,ついせき,Theo dấu vết,TRUY TÍCH
手本,てほん,"Chữ, tranh mẫu, mẫuTấm gương",THỦ BẢN
手がかり,てがかり,"Gợi ý, đầu mối, manh mối",THỦ
手分け,てわけ,"Chia ra, phân chia",THỦ PHÂN
手配,てはい,"tổ chức, sắp xếp 1: chuẩn bị sắp xếp bố trí2: điều tra truy nã",THỦ PHỐI
手探り,てさぐり,"Lần mò, dò dẫm",THỦ THÁM
手際,てぎわ,Kỹ năng,THỦ TẾ
人手,ひとで,"Người lao động, công nhân",NHÂN THỦ
人目,ひとめ,Sự chú ý của công chúngÁnh nhìn của người khác,NHÂN MỤC
人気,ひとけ,"Được đông đảo người hâm mộ, yêu thícひとけ：bóng dáng con người人気のない通り",NHÂN KHÍ
寄りかかる,よりかかる,"Dựa vào, phụ thuộc",KÍ
もたれかかる,もたれかかる,"Tựa vào, tin cậy",
つかみかかる,つかみかかる,"Chộp lấy, bắt kịp",
突っかかる,つっかかる,"Vội vàng, húc",ĐỘT
飛びかかる,とびかかる,"Nhảy vào, chồm vào",PHI
跳びかかる,とびかかる,Nhảy vào,KHIÊU
取りかかる,とりかかる,Bắt đầu,THỦ
暮れかかる,くれかかる,Nổi lên (mặt trời)• Bầu trời về đêm,MỘ
落ちかかる,おちかかる,Rơi,LẠC
立てかける,たてかける,"Đứng lên, dựa vào",LẬP
話しかける,はなしかける,Bắt chuyện,THỌAI
働きかける,はたらきかける,Kêu gọi,ĐỘNG
押しかける,おしかける,Ùa vào,ÁP
詰めかける,つめかける,"Vây lấy, kéo tới",CẬT
見せかける,みせかける,Giả bộ,KIẾN
言いかける,いいかける,Bắt đầu nói,NGÔN
溺れかける,おぼれかける,Bắt đầu chìm,"NỊCH, NIỆU"
言いつける,いいつける,"báo cáo, ra lệnh",NGÔN
駆けつける,かけつける,"Vội vàng đến, chạy đến",KHU
決めつける,きめつける,"Trách móc, quy kết, áp đặt, mặc định",QUYẾT
送り付ける,おくりつける,"Gửi đến, không mong đợi",TỐNG PHÓ
押し付ける,おしつける,"Áp đặt, ép buộc",ÁP PHÓ
にらみつける,にらみつける,"Lườm, nhìn chằm chằm",
たたきつける,たたきたける,"Đập, đập mạnh",
怒鳴りつける,どなりつける,La mắng (vào ai đó),NỘ MINH
備付ける,そなせつける,"Trang bị, chuẩn bị",BỊ PHÓ
飾付ける,かざりつける,"Trang hoàng, trang trí",SỨC PHÓ
やりつける,やりつける,Quen với,
行きつける,いきつける,Nơi thường xuyên tới,HÀNH
勝ち取る,かちとる,Chiến thắng,THẮNG THỦ
掴み取る,つかみとる,"Nắm lấy, bắt lấy",QUẶC THỦ
聞き取る,ききとる,Nghe ( lấy thông tin),VĂN/VẤN THỦ
書取る,かきとる,"Viết xuống, nghi chép lại",THƯ THỦ
読み取る,よみとる,Đọc,ĐỘC THỦ
乗っとる,のっとる,"Chiếm giữ, Đoạt được, giành lấy",THỪA
抜き取る,ぬきとる,"Đánh tráo, lấy ra",BẠT THỦ
言い返す,いいかえす,"Lặp lại, đáp lại",NGÔN PHẢN
読み返す,よみかえす,Đọc lại,ĐỘC PHẢN
聞き返す,ききかえす,Hỏi lại,"VĂN, VẤN PHẢN"
思い返す,おもいかえす,"Nghĩ lại, thay đổi cách nghĩ",TƯ PHẢN
見返す,みかえす,"Nhìn lại, liếc lại",KIẾN PHẢN
使い切る,つかいきる,"Sử dụng hết, dùng hết",SỬ THIẾT
出し切る,だしきる,Cố hết sức,XUẤT THIẾT
