japanese,reading,meaning,sinoVietnamese
秩序,ちつじょ,"Trật tự, thứ tự",TRẬT TỰ
格差,かくさ,"Sự khác biệt, sự khác nhau, sự chênh lệch, khoảng cách.",CÁCH SAI
犠牲,ぎせい,Hy sinh,HY SINH
氾濫,はんらん,"Lũ lụt, tràn ngập",PHIẾN LẠM
見込み,みこみ,"Dự kiến, Dự tính, dự báo, có triển vọng (tiềm năng)",KIẾN VÀO
見通し,みとおし,Nhìn thấu,KIẾN THÔNG
見積もり,みつもり,"Ước tính, báo giá",KIẾN TÍCH
流通,りゅうつう,"Lưu thông, phân phối",LƯU THÔNG
停滞,ていたい,Đình trệ,ĐÌNH TRỆ
不振,ふしん,"Không tốt, không trôi chảy",BẤT CHẤN
廃止,はいし,Hủy bỏ,PHẾ CHỈ
繁栄,はんえい,"Hưng thịnh, phồn vinh",PHỒN VINH
成熟,せいじゅく,Thuần thục,THÀNH THỤC
飛躍,ひやく,"Bước tiến xa, nhảy vọt",PHI DƯỢC
両立,りょうりつ,"Song song, Cùng tồn tại, kết hợp, cân bằng",LƯỠNG LẬP
統計,とうけい,Thống kê,THỐNG KẾ
分散,ぶんさん,Phân tán,PHÂN TÁN
均衡,きんこう,"Cán cân, cân bằng",QUÂN HÀNH
蓄積,ちくせき,"Tích trữ, tích tụ",SÚC TÍCH
述べ,のべ,Tổng số,DUYÊN
人材,じんざい,"Nhân tài, nhân sự",NHÂN TÀI
公衆,こうしゅう,"Công chúng, dân chúng, cộng đồng",CÔNG CHÚNG
教養,きょうよう,"Giáo dục, nuôi dưỡng",GIÁO DƯỠNG
視点,してん,"Điểm nhìn, quan điểm",THỊ ĐIỂM
観点,かんてん,Quan điểm,QUAN ĐIỂM
左右,さゆう,"Trái phải, bên trái và bên phải, trên dưới (tuổi tác)",TẢ HỮU
直面,ちょくめん,Trực diện,TRỰC DIỆN
把握,はあく,"Hiểu, nắm bắt",BẢ ÁC
描写,びょうしゃ,"Miêu tả, khắc họa",MIÊU TẢ
仕掛け,しかけ,"Thiết bị, mánh khóe, mưu mẹo , cơ chế",SĨ QUẢI
仕組み,しくみ,"Cấu trúc, máy móc",SỸ TỔ
こつ,こつ,"Mẹo, mánh khóe",
技,わざ,Kỹ thuật,KỸ
先,さき,"Đầu (ngón tay), tương lai",TIÊN
先端,せんたん,"mũi nhọn. Đi đầu,",TIÊN ĐOAN
過程,かてい,Quá trình,QUÁ TRÌNH
起源,きげん,"Mầm mống, nguồn gốc, gốc tích",KHỞI NGUYÊN
唯一,ゆいいつ,"Duy nhất, độc nhất",DUY NHẤT
恒例,こうれい,"Thói quen, thông lệ, thường lệ",HẰNG LỆ
目前,もくぜん,Trước mắt,MỤC TIỀN
間際,まぎわ,"Ngay trước khi, lúc sắp sửa",GIAN TẾ
群れ,むれ,"Bầy đàn, nhóm",QUẦN
正体,しょうたい,"Thân phận, danh tính, lộ mặt",CHÍNH THỂ
罠,わな,Bẫy,MÂN
枠,わく,"Khung, viền",KHUNG
艶,つや,"Nhẵn, bóng",DIỄM
陰,かげ,"Bóng tối, sự u ám, sự tăm tối",ÂM
影,かげ,"Bóng, phản chiếu, ánh sáng",ẢNH
柄,がら,"Chuôi, cán, hoa văn, mẫu, mô hình, bản chất",BÍNH
つじつま,つじつま,"Chặt chẽ, gắn kết, logic",
差し支え,さしつかえ,"Trở ngại, không tiện",SAI CHI
しわ寄せ,しわよせ,"Áp lực, căng thẳng, bế tắc",KÍ
何から,なんから,"Một số, theo cách nào đó, thuộc loại nào đó",HÀ
銘銘,めいめい,"Từng, mỗi",MINH MINH
晴れる,はれる,"Nắng, trời trong",TÌNH
ばれる,ばれる,"Tiết lộ, rò rỉ",
ばらす,ばらす,"Làm lộ, tách ra",
すり替える,すりかえる,"Thay đổi, trao đổi đề tàiĐánh trống lảng",THẾ
ばらまく,ばらまく,"Gieo rắc, phát tán, vương vãi",
またがる,またがる,Cưỡi,
またぐ,またぐ,"Bước qua, băng qua vượt qua",
貫く,つらぬく,"Xuyên qua, băng qua, thực hiện",QUÁN
覗く,のぞく,"Nhìn lén , liếc nhìn",TƯ
控える,ひかえる,"Chờ đợi, chuẩn bị, sắp sửa, giới hạn, hạn chế, ghi chú",KHỐNG
怠る,おこたる,"Lười, bỏ bê, sao nhãng, quên",ĐÃI
逃れる,のがれる,Trốn chạy,ĐÀO
逃す,のがす,"Thả ra, thả cho đi, bỏ lỡ",ĐÀO
赴く,おもむく,"Tới, đến, tiến về",PHÓ
継ぐ,つぐ,"Kế thừa, thừa hưởng",KẾ
