japanese,reading,meaning,sinoVietnamese
勘,かん,"trực giác, linh cảm",KHÁM
感覚,かんかく,cảm giác センス、感、気配,CẢM GIÁC
神経,しんけい,"thần kinh, tủy(răng) 精神",THẦN KINH
記憶,きおく,"ký ức, trí nhớ",KÍ ỨC
様子,ようす,"tình trạng, trạng thái 状況、事態、事情、現況",DẠNG TỬ
雰囲気,ふんいき,bầu không khí,PHÂN VI KHÍ
魅力,みりょく,Sự quyến rũ; sức hút;có sức thu hút hấp dẫn,MỊ LỰC
機嫌,きげん,"tâm trạng, sức khỏe",KI HIỀM
関心,かんしん,quan tâm,QUAN TÂM
意欲,いよく,"ý muốn, muốn",Ý DỤC
全力,ぜんりょく,toàn lực,TOÀN LỰC
本気,ほんき,"nghiêm chỉnh, chân thực",BỔN KHÍ
意識,いしき,"tri giác, ý thức",Ý THỨC
感激,かんげき,"cảm kích, xúc động",CẢM KÍCH
同情,どうじょう,"cảm thông, lòng thương hại, lòng trắc ẩn 同感",ĐỒNG TÌNH
同意,どうい,đồng ý,ĐỒNG Ý
同感,どうかん,đồng cảm,ĐỒNG CẢM
対立,たいりつ,đối lập,ĐỐI LẬP
主張,しゅちょう,chủ trương,CHỦ TRƯƠNG
要求,ようきゅう,yêu cầu(N) 申し出、請求,YẾU CẦU
得,とく,"lợi ích, lãi",ĐẮC
損,そん,"lỗ, tổn thất",TỔN
勝負,しょうぶ,đánh cược,THẮNG PHỤ
勢い,いきおい,"sự mạnh mẽ, tràn trề",THẾ
爆発,ばくはつ,nổ,BẠO PHÁT
災害,さいがい,thảm họa(thiên nhiên),TAI HẠI
天候,てんこう,thời tiết 天気,THIÊN HẬU
乾燥,かんそう,"sự khô khan, khô hạn ドライ",KIỀN TÁO
観測,かんそく,sự quan trắc; sự quan sát; sự đo đạc,QUAN TRẮC
遭難,そうなん,"thảm họa, tai nạn 災害、災難",
発生,はっせい,(N)phát sinh 生じる,PHÁT SANH
