japanese,reading,meaning,sinoVietnamese
申し訳ない,もうしわけない,xin lỗi(い),
めでたい,めでたい,"vui, hạnh phúc, tốt lành(thuận lợi)(A)",MỤC XUẤT ĐỘ
幸いな,さいわいな,"hân hạnh,hạnh phúc, may mắn(A)",
恋しい,こいしい,"nhớ, nhớ nhung(い)",LUYẾN
懐かしい,なつかしい,"nhớ tiếc, hồi nhớ(A)",HOÀI
幼い,おさない,"non nớt, bé(い)",ẤU
心細い,こころぼそい,cô đơn(い),TÂM TẾ
かわいそう,かわいそう,tội nghiệp(な),KHẢ AI TƯỞNG
気の毒な,きのどくな,"(な)đáng tiếc, đáng thương 情けない",
貧しい,まずしい,nghèo(い),BẦN
惜しい,おしい,đáng tiếc(い),TÍCH
仕方(が)ない,しかたない,"vô phương, bó tay",
止むを得ない,やむをえない,không tránh khỏi,
面倒臭い,めんどうくさい,phiền toái(い),DIỆN ĐẢO XÚ
しつこい,しつこい,"lằng nhằng, đậm(vị) , lèo nhèo(い)",
くどい,くどい,"dài dòng, lắm lời(A)",TRUÂN
煙い,けむい,nhiều khói(い),YÊN
邪魔な,じゃまな,(な)vướng víu,
うるさい,うるさい,"ồn ào, om sòm(い)",PHIỀN
騒々しい,そうぞうしい,"(い)ồn ào, sôi nổi 騒がしい",TAO
慌ただしい,あわただしい,bận rộn; bận tối mắt tối mũi; bận túi bụi(A),
そそっかしい,ここっかしい,"vô tâm, không để ý、hấp tấp; vội vàng; ẩu(A)",
思いがけない,おもいがけない,không ngờ đến(い),
何気ない,なにげない,"không cố ý, ngẫu nhiên, tình cờ 思いがけない (A)",HÀ KHÍ
とんでもない,とんでもない,"không thể tin được、không ngờ 、thái quá,(ー)(A)",
下らない,くだらない,"vô giá trị, vô nghĩa(い)",HẠ
馬鹿馬鹿しい,ばかばかしい,"buồn cười, ngu ngốc、lố bịch(い)",
でたらめ,でたらめ,"bừa, linh tinh(な)",
だらしない,だらしない,"lôi thôi, luộm thuộm(い) ルーズな",
図々しい,ずうずうしい,"vô liêm sỉ, trơ trẽn(い)",ĐỒ
狡い,ずるい,"không trung thực, láu cá(い)",GIẢO
憎らしい,にくらしい,"đáng ghét, ghê tởm(A)",TĂNG
憎い,にくい,"căm thù,căm ghét ghét(い)",TĂNG
険しい,けわしい,"dốc(dựng đứng), nghiêm khắc(A)",HIỂM
辛い,からい,đau đớn(い),TÂN
きつい,きつい,chặt chẽ;chật chội;hà khắc(い),
緩い,ゆるい,"lỏng, chậm(い)",HOÃN
鈍い,にぶい,"(い)cùn, đần độn, kém",ĐỘN
鋭い,するどい,"sắc, sắc sảo(い)",DUỆ
荒い・粗い,あらい,"cục cằn, bạo lực, khốc liệt(A)",
強引な,ごういん,"(な)cưỡng bức, bắt buộc 強制(N)",CƯỜNG DẪN
勝手な,かってな,"độc đoán, tự tiện; tự ý(な)",
強気な,つよきな,"trực tính, nóng tính, thẳng tính(な) 率直な",
頑固な,がんこな,"(な)bảo thủ, cố chấp",NGOAN CỐ
過剰な,かじょう,"(な)dư thừa, vượt quá 超過、過大、余裕",QUÁ THẶNG
重大な,じゅうだいな,"trọng đại, nghiêm trọng, nguy kịch(A)",TRỌNG ĐẠI
深刻な,しんこくな,(な)nghiêm trọng,
気楽な,きらくな,"thoải mái, nhàn hạ(な)",
安易な,あんいな,"thiển cận(cách nghĩ), dễ dàng, sự đơn giản(な) 簡潔、単純",
