japanese,reading,meaning,sinoVietnamese
眺める,ながめる,"Nhìn, ngắm",
浸かる,つかる,Ngâm mình trong bồn Chìm ngập trong cuộc sống ngày ngày mà quên đi tâm nguyện ban đầu,
浸ける,つける,"ngâm, ướpを",TÍ
浮かぶ,うかぶ,Mặt nước đang float đi (Trạng thái của mặt nước),
浮かべる,うかべる,Mường tượng Sailing a boat,
浮く,うく,Con cá float trên mặt nước (do hành động của con cá),
潜る,もぐる,"lặn, chui vào (trong chăn)",TIỀM
跳ねる,はねる,"nhảy, bắn, tóe",KHIÊU
背負う,せおう,"đeo, cõng を",BỐI PHỤ
追いつく,おいつく,đuổi kịp,TRUY
追い越す,おいこす,vượt qua (chạy vượt) 上回る,TRUY VIỆT
振り向く,ふりむく,"ngoảnh mặt, nhìn về",CHẤN HƯỚNG
捕る・採る・執る,とる,"lấy, tuyển dụng",
取り上げる,とりあげる,"nhặt lên, lấy, chọn",
削る,けずる,"cắt, chuốt, gọt",TƯỚC
絞る・搾る,しぼる,"vắt, bóp",
回る,まわる,xoay quanh が,HỒI
回す,まわす,"xoay, vặn を",HỒI
組む,くむ,"nối, hợp thành, làm thành, gộp lại",TỔ
加わる,くわわる,"thêm vào, tăng lênが",GIA
加える,くわえる,"tham gia, cộng vào, tăng thêm を",GIA
仕上がる,しあがる,"được kết thúc, được hoàn thànhが",SĨ THƯỢNG
仕上げる,しあげる,"hoàn thành, kết thúcげ",SĨ THƯỢNG
通りかかる,とおりかかる,"ngang qua, đi qua (1 cách tình cờ)",
飛び回る,とびまわる,bay vòng quanh,PHI HỒI
巡る,めぐる,"toàn vẹn, quanh quanh, lặp lại, liên quan đến",TUẦN
補う,おぎなう,(V)đền bù; bù; bổ sung 補足,BỔ
救う,すくう,"cứu, giúp",CỨU
省く,はぶく,"cắt giảm, lược bớt 略す、略する、縮まる",TỈNH
誤る,あやまる,mắc lỗi,NGỘ
奪う,うばう,"cướp đoạt, trấn lột 奪い取る",ĐOẠT
しまう,しまう,"để lại, giữ lại",SĨ VŨ
怠ける,なまける,lười biếngを,ĐÃI
攻める,せめる,tấn công,CÔNG
睨む,にらむ,lườm,NGHỄ
責める,せめる,đổ lỗi,TRÁCH
裏切る,うらぎる,"phảm bội, phản lại",LÍ THIẾT
頼る,たよる,"nhờ vào, dựa dẫm, dựa vào, phụ thuộc",LẠI
遭う,あう,gặp gỡ,TAO
招く,まねく,"mời, gọi, rủ, gây ra",CHIÊU
引っ掛かる,ひっかかる,"bị mắc vào, bị vướng vào,bị kéo vào, bị lừaが",
引っ掛ける,ひっかける,"mắc, lừa đảo, ném vàoを",
ひっくり返る,ひっくりかえる,bị trượt chân ngã nhào,
