japanese,reading,meaning,sinoVietnamese
ちょくちょく,ちょくちょく,"Thường xuyên, hay",
およそ,およそ,"Khoảng, đại khái",
極めて,きわめて,"Rất, vô cùng",CỰC
極,ごく,"Rất, vô cùng, cực kỳ",CỰC
傷つく,きずつく,Gây tổn thương,THƯƠNG
塗る,ぬる,"Sơn, quết, thoa, bôi, xoa",ĐỒ
至って,いたって,"Rất, vô cùng",CHÍ
人一倍,ひといちばい,"Hơn người khác, hơn bình thườngGấp đôi người thường",NHÂN NHẤT BÔI
一通り,ひととおり,"thông thường, đại khái, nhìn chung",NHẤT THÔNG
やや,やや,Một chút,
幾分,いくぶん,"Phần nào đó, một chút, hơi",KỲ PHÂN
そこそこ,そこそこ,"kha khá,vừa vừa,tàm tạm",
若干,じゃっかん,"Ít nhiều, một chút 、một số",NHƯỢC KIỀN
今一つ,いまひとつ,"Thiếu một chút, thiếu một ít",KIM NHẤT
散々な,さんざん(な),"Khốc liệt, dữ dội",TÁN
ぐっと,ぐっと,"Chắc chắn, nhanh, nhiều (dùng khi so sánh)",
はるかに,はるかに,"Hơn nhiều, xa",
がっちり,がっちり,"Cứng, kiên cố, vững chắc",
がっしり,がっしり,"Cứng, chắc, dẻo dai",
くっきり,くっきり,Rõ ràng,
すんなり,すんなり,"Mỏng, mảnh mai, dễ dàngKhông chút khó khăn",
着々と,ちゃくちゃくと,"Đều đều, vững chắc","TRƯỚC, TRỨ, TRỮ"
ぐんぐん,ぐんぐん,"Nhanh chóng, mau lẹ",
ぐったり,ぐったり,"Mệt mỏi, rã rời, mệt lừ",
げっそり,げっそり,"Gầy đi, nản chí",
ひっそり,ひっそり,"Yên lặng, yên tĩnh",
ごたごた,ごたごた,"Rắc rối, hỗn loạn",
ごちゃごちゃ,ごちゃごちゃ,"Xáo trộn, hỗn loạn",
べたべた,べたべた,"Nhớp nháp, dính, gắn vào",
さも,さも,"Hiển nhiên, rõ ràng, hơn nữa, ngòai ra",
さぞ,さぞ,"Chắc là, hiển nhiên",
何とぞ,なにとぞ,Làm ơn cái gì,HÀ
