japanese,reading,meaning,sinoVietnamese
思い切る,おもいきる,"Thất vọng, tuyệt vọng, từ bỏ, chán nảnQuyết tâm",TƯ THIẾT
悔いる,くいる,"Tiếc, hối tiếc, ăn năn, hối lỗi",HỐI
憤る,いきどおる,"Phẫn uất, nổi giận, phật ý",PHẪN
嘆く,なげく,"Thở dài, kêu than",THÁN
自惚れる,うぬぼれる,"Tự phụ, tự mãn, ảo tưởng sức mạnh",TỰ HỐT
もがく,もがく,"Đấu tranh, vùng vẫy",
相次ぐ,あいつぐ,Liên tục,TƯƠNG THỨ
出回る,でまわる,Xuất hiện trên thị trường,XUẤT HỒI
富む,とむ,Giàu có,PHÚ
群がる,むらがる,"Kết hợp, thành đàn, tụ lại",QUẦN
溶け込む,とけこむ,"Hòa nhập, hòa tan, chảy vào",DUNG VÀO
はみ出る/はみ出す,はみでる/はみだす,"Lòi ra, thò ra",XUẤT
弾む,はずむ,"Tâng lên, nảy, rộn ràng",ĐÀN
粘る,ねばる,"Dính, kiên trì",NIỀM
化ける,ばける,"Đổi thành, hóa thành, biến hóa",HÓA
萎む,しぼむ,"Héo, tàn",NUY
弛む,たるむ,"Lỏng, lơi lỏng",THỈ
盛る,もる,"Làm đầy, đổ đầy",THỊNH
設ける,もうける,"Thiết lập, trang bị",THIẾT
催す,もよおす,"Tổ chức (họp), cảm thấy, có triệu chứng",THÔI
閉ざす,とざす,"Bít lại, ngăn lại, đóng lại, khóa",BẾ
埋め立てる,うめたてる,"Lấp, chôn",MAI LẬP
要する,ようする,"Yêu cầu, đòi hỏi",YÊU
優先する,ゆうせんする,Ưu tiên,ƯU TIÊN
遠ざかる,とおざかる,"Xa dần, xa cách",VIỄN
遠ざける,とおざける,"Tránh xa, tránh khỏiKhông ở gần",VIỄN
浸る,ひたる,"Thấm ướt, ngâm",TẨM
浸す,ひたす,"Dấn, nhúng vào nước",TẨM
滅びる,ほろびる,"Bị phá hủy, diệt vong",DIỆT
滅ぼす,ほろぼす,"Tiêu diệt, hủy hoại",DIỆT
栄える,さかえる,Phồn vinh,VINH
定まる,さだまる,"Ổn định, được quyết định",ĐỊNH
定める,さだめる,"Quyết định, làm ổn định, xác lập (luật lệ)",ĐỊNH
成す,なす,"Hình thành, hoàn thành, thi hành",THÀNH
担う,になう,"Cáng đáng, gánh vác",ĐẢM
留まる,とどまる,"Giữ lại, ở lại",LƯU
留める,とどめる,"Chặn lại, dừng lại",LƯU
尽きる,つきる,"Cạn kiệt, hết, kết thúc",TẬN
尽くす,つくす,"Cống hiến, hết sức, hết mình",TẬN
臨む,のぞむ,"Tiến tới, hướng tới Tiếp cận, đối mặt",LÂM
損なう,そこなう,"Làm tổn hại, làm đau, làm bị thương",TỔN
漂う,ただよう,"Toát ra, tỏa raTràn trề, sôi nổi",PHIÊU
満ちる,みちる,"Đầy tràn, chạm tới",MÃN
満たす,みたす,"Làm đầy, làm hài lòng",MÃN
賄う,まかなう,"Trang trải, chi trả Cung cấp",HỐI
匹敵する,ひってきする,Đuổi kịpTương đương với (so sánh),THẤT ĐỊCH
蔓延る,はびこる,"Tràn lan, Lan đầy, điên cuồng,",MẠN DUYÊN
陥る,おちいる,Rơi vào,HÃM
免れる,まぬがれるまぬかれる,"Được miễn, thoát khỏi, tránh né, trốn thoát",MIỄN
勝る,まさる,"Vượt trội, áp đảo hơn",THẮNG
帯びる,おびる,"Nhiễm, bị ảnh hưởng, được giao phó, mang, đeo",ĐỚI
鈍る,にぶる,"Sợ sệt, yếu đi, cùn đi",ĐỘN
有り触れる,ありふれる,Trở nên phổ biến,HỮU XÚC
冴える,さえる,"Trong trẻo, Khéo léo, minh mẫn",NGÀ
際立つ,きわだつ,"Đáng chú ý, dễ thấy, nổi bật",TẾ LẬP
ずば抜ける,ずばぬける,"Nổi bật, xuất chúng, lỗi lạc",BẠT
ソフト,ソフト,"Mềm, thanh lịch",Soft
ハード,ハード,"Cứng, khó, phần cứng",Had
フォーマルな,フォーマルな,"Trang trọng, lễ nghi",Formal
カジュアルな,カジュアルな,"Thường, bình thường, bình dị",casual
シンブルな,シンブルな,Đơn giản,Simple
ドライな,ドライな,"Khô, khô khan, thực dụng",Dry
シビアな,シビアな,"nghiêm trọng, khắt khe",severe
ピンチ,ピンチ,"Khủng hoảng, kẹt cứngKhó khăn, nguy hiểm",Pinch
セーフ,セーフ,An toàn,Safe
マンネリ,マンネリ,"Lặp đi lặp lại, đơn điệu",Mannerisms
バラエティVariety,バラエティ,"Rất nhiều lọai, đa dạng",Variety
パワー,パワー,"Năng lượng, nhiệt huyết",Power
バイタリティー,バイタリティー,Đầy sức sống,Vitality
ダイナミックな,ダイナミックな,"Năng động, sinh động",Dynamic
スタミナ,スタミナ,"Thể lực, năng lượng",Stamina
ピーク,ピーク,"Đỉnh, chóp",Peak
クライマックス,クライマックス,"Đỉnh cao, đỉnh điểm",Climax
インパクト,インパクト,"Ảnh hưởng, máy khoan tay",Impact
コントラスト,コントラスト,"tương phản, đối lập",contrast
クリア－,クリア－,"rõ ràng, xóa, trong suốt",Clear
トーン,トーン,"Giọng, tiếng",Tone
ニュアンス,ニュアンス,"Sắc Thái, Ẩn ý",Nuance
フィーリング,フィーリング,Cảm Giác,Feeling
ギャップ,ギャップ,Khoảng cách,Gap
ステレオタイプな,ステレオタイプな,"Rập khuôn, cứng nhắc",Stereotype
レッテル,レッテル,"Phán xét , đánh giá ngườiNhãn",
フィルター,フィルター,Lọc,Filter
ベース,ベース,"Cơ bản, cơ sở",Base
インフラ,インフラ,Cơ sở hạ tầng,infrastructure
ネットワーク,ネットワーク,"Mạng lưới, kết nối",Network
テクノロジー,テクノロジー,Công nghệ,Technology
テクニック,テクニック,Kỹ thuật,Technic
メカニズム,メカニズム,"Cơ chế, cơ cấu",mechanism
プロセス,プロセス,"Quy trình, quá trình",process
フィードバック,フィードバック,Phản hồi,Fell back
コンセプト,コンセプト,"Khái niệm, ý tưởng",Concept
ポリシー,ポリシー,"Chính sách, chủ trương",Policy
アピール,アピール,"Kêu gọi, thu hút",appeal
シミュレーション,シミュレーション,Mô phỏng,Simulation
アクセス,アクセス,"Truy cập, tiếp cận",Access
シフト,シフト,Ca làm,Shift
チェンジ,チェンジ,Thay đổi,Change
