japanese,reading,meaning,sinoVietnamese
青春,せいしゅん,Tuổi trẻ,THANH XUÂN
晩年,ばんねん,Cuối đời,VÃN NIÊN
葬式,そうしき,Đám tang,TÁNG THỨC
世帯,せたい,Hộ gia đình,THẾ ĐỚI
世間,せけん,Thế giới,THẾ GIAN
庶民,しょみん,Dân thường,THỨ DÂN
おんぶ,おんぶ,Cõng địu,
片言,かたこと,Bập bẹ (nói),PHIẾN NGÔN
夜更かし,よふかし,Thức khuya,DẠ CANH
家出,いえで,Bỏ nhà đi,GIA XUẤT
戸締り,とじまり,Khóa cửa,HỘ ĐẾ
ずぶ濡れ,ずぶぬれ,"Ướt đẫm, ướt sũng",NHU
顔つき,かおつき,"Vẻ mặt, biểu cảm",NHAN
身なり,みなり,"Ngọai hình, diện mạo",THÂN
身の回り,みのまわり,Chuyện thường ngày,THÂN HỒI
身振り,みぶり,"Cử chỉ, điệu bộ",THÂN CHẤN
良心,りょうしん,Lương tâm,LƯƠNG TÂM
素質,そしつ,Tố chất,TỐ CHẤT
好意,こうい,"Ý tốt, thiện chí",HẢO Ý
ため息,ためいき,Thở dài,TỨC
どわすれ,ど忘れ,"Chợt quên, đột nhiên quên",VONG
用心,ようじん,"Cẩn trọng, cẩn thận",DỤNG TÂM
予感,よかん,"Dự cảm, linh tính",DỰ CẢM
視線,しせん,"Ánh nhìn, liếc",THỊ TUYẾN
迷信,めいしん,Mê tín,MÊ TÍN
縁,えん,"Duyên, mối liên hệ",DUYÊN
使い捨て,つかいすて,Dùng 1 lần,SỬ TẾ
下取り,したどり,"Đổi, trao đổi",HẠ THỦ
倹約,けんやく,Tiết kiệm,KIỆM ƯỚC
出費,しゅっぴ,"Chi phí, chi tiêu",XUẤT PHÍ
会計,かいけい,"Kế toán, tính tiền",HỢP KẾ
所得,しょとく,Thu nhập,SỞ ĐẮC
採用,さいよう,"Tuyển dụng, thu nhận",THẢI DỤNG
雇用,こよう,Tuyển dụng,CỐ DỤNG
所属,しょぞく,"Thành viên, thuộc vào",SỞ THUỘC
待遇,たいぐう,Đãi ngộ,ĐÃI NGỘ
派遣,はけん,Phái cử,PHÁI KIẾN
赴任,ふにん,Nhậm chức ( ở nơi khác),PHÓ NHÂM
地元,じもと,Địa phương,ĐỊA NGUYÊN
現役,げんえき,"Đương chức, đương nhiệm",HIỆN DỊCH
指図,さしず,Hướng dẫn,CHỈ ĐỒ
操縦,そうじゅう,"Thao tác, điều khiển",THAO TÚNG
主食,しゅしょく,Bữa chính,CHỦ THỰC
食物,しょくもつ,Đồ ăn,THỰC VẬT
穀物,こくもつ,Ngũ cốc,CỐC VẬT
豊作,ほうさく,Mùa bội thu,PHONG TÁC
例年,れいねん,Hàng năm,LỆ NIÊN
種,たね,"Hạt, ngọn nguồn, kỹ thuật",CHỦNG
とげ,とげ,"Gai góc, gai",
毒,どく,"Độc, độc địa (tâm hồn)",ĐỘC
くじ,くじ,"Rút thăm, xổ số",
桁,けた,Chữ số,HÀNH
単位,たんい,"Đơn vị, tín chỉ, học phần",ĐƠN VỊ
一括,いっかつ,"Gộp, cùng lúc, tổng cộng",NHẤT QUÁT
固まり,かたまり,"Cục, tầng, miếng",CỐ
丈,たけ,"Chiều dài, cao, đong đầy, chứa đầy",TRƯỢNG
欄,らん,Cột,LAN
隅,すみ,Góc,NGUNG
縁,ふち,"Mép, viền",DUYÊN
ひび,ひび,Nứt,
分裂,ぶんれつ,"Phân chia, tách",PHÂN LIỆT
