japanese,reading,meaning,sinoVietnamese
是非,ぜひ,"Tính hai mặt, đúng và saiNhất định",THỊ PHI
模索,もさく,"Tìm kiếm, khám phá",MÔ SÁCH
折衷,せっちゅう,"Pha trộn, Thỏa hiệp",CHIẾT TRUNG
許容,きょよう,Chấp nhận,HỨA DUNG
緩和,かんわ,"Hòa hoãn, nới lỏng, bớt căng thẳng",HOÃN HÒA
解除,かいじょ,"Miễn, bãi bỏ",GIẢI TRỪ
自粛,じしゅく,"Tự kiềm chế, tự kiểm đểm",TỰ TÚC
治安,ちあん,"Trị an, an toàn",TRỊ AN
監視,かんし,Giám sát,GIÁM THỊ
禁物,きんもつ,"Điều kiêng kỵ, cấm kị",CẤM VẬT
疑惑,ぎわく,Nghi ngờ,NGHI HOẶC
見解,けんかい,"Cách nghĩ, quan điểm, cách đánh giá",KIẾN GIẢI
認識,にんしき,Nhận thức,NHẬN THỨC
概念,がいねん,Khái niệm,KHÁI NIỆM
架空,かくう,"Tưởng tượng, hư cấu",GIÁ KHÔNG
神秘,しんぴ,"Huyền bí, kỳ bí",THẦN THẤT
驚異,きょうい,Kỳ diệu,KINH DỊ
有数,ゆうすう,"Dẫn đầu, hàng đầu , nổi bật",HỮU SỐ
兆し,きざし,"Dấu hiệu, điềm báo",TRIỆU
幕開け,まくあけ,"Khai mạc, mở màn",MẠC KHAI
経緯,けいい,"Chi tiết, quá trình",KINH VĨ
成行き,なりゆき,"Diễn biến, kết quả",THÀNH HÀNH
行き違い,いきちぎい/ゆきちがい,"Hiểu lầm, lạc",HÀNH VI
道のり,みちのり,"Quảng đường , đường đi, tuyến đường",ĐẠO
行く手,ゆくて,Đường đi,HÀNH THỦ
果て,はて,"Sau cùng, cuối cùng, tận cùng",QUẢ
決,けつ,Biểu quyết,QUYẾT
目安,めやす,"Mục đích, tiêu chuẩn",MỤC AN
目処,めど,"Mục tiêu, quan điểmTriển vọng",MỤC XỨ
宣告,せんこく,"Công bố, tuyên án, phán quyết",TUYÊN CÁO
声明,せいめい,"Tuyên bố, công bố",THANH MINH
樹立,じゅりつ,"Thành lập, thiết lập",THỤ LẬP
統率,とうそつ,"Chỉ huy, thống lĩnh",THỐNG SUẤT
勢力,せいりょく,"Quyền lực, thế lực, sức mạnh",THẾ LỰC
台頭,たいとう,"Sự xuất hiện, lộ diện",ĐÀI ĐẦU
形勢,けいせい,"Tình thế, tình cảnh, tình trạng, điều kiện",HÌNH THẾ
突破,とっぱ,"Đột phá, phá vỡ",ĐỘT PHÁ
展開,てんかい,"Triển khai, khám phá",TRIỂN KHAI
開拓,かいたく,"Khai thác, khai phá, tiên phong, đi đầu",KHAI THÁC
