japanese,reading,meaning,sinoVietnamese
途絶える,とだえる,Dừng,ĐỒ TUYỆT
下る,くだる,"Đưa (phán quyết) xuống, xuống, đi xuống, lắn xuống",HẠ
下す,くだす,Ra quyết định,HẠ
垂れる,たれる,"Treo, trĩu, nhỏ giọt",THÙY
茂る,しげる,"Rậm rạp, um tùm",MẬU
耕す,たがやす,"Cày, cấy, cày bừa",CANH
生かす,いかす,"Tận dụng, phát huy",SINH
拒む,こばむ,Từ chối,CỰ
強いる,しいる,"Ép buộc, cưỡng ép",CƯỜNG
禁じる,きんじる,Ngăn cấm,CẤM
競う,きそう,Cạnh tranh,CẠNH
負かす,まかす,Đánh bại,PHỤ
遣っ付ける,やっつける,"Ào ào, tấn công, kết liễu, tiêu diệt",KHIẾN PHÓ
励む,はけむ,"Nỗ lực, cố gắng, phấn đấu",LỆ
捉える,とらえる,"Nắm giữ, chộp lấy",TRÓC
捕らえる,とらえる,Bắt giữ,BỘ
庇う,かばう,"Bao phủ, che chở",TÍ
からかう,からかう,Trêu chọc,
襲う,おそう,"Tấn công, nhắm vào",TẬP
挙がる,あがる,"Nâng, đưa (ví dụ), ca ngợi, tổ chức.",CỬ
雇う,やとう,"Thuê, tuyển dụng",CỐ
養う,やしなう,"Nuôi dưỡng, nuôi nấng",DƯỠNG
交わる,まじわる,"Giao nhau, cắt nhau",GIAO
交える,まじえる,"Bao gồm, trộn lẫn, kết hợp, trao đổi",GIAO
寄越す,よこす,"Gọi điện, chuyển đến, gửi đến, cử đi",KÝ VIỆT
焦る,あせる,"Vội, sốt ruột, lo lắng",TIÊU
急かす,せかす,"Hối thúc, thúc dục",CẤP
耐える,たえる,Chịu đựng,NẠI
むっとする,むっとする,"Buồn rầu, bực mình, hậm hực",
ぞっとする,ぞっとする,"Ghê rợn, rùng mình, sờn gai ốc",
ぎょっとする,ぎょっとする,"Hết hồn. Kinh ngạc, giật mình",
狂う,くるう,"Điên khùng, mất trí",CUỒNG
照れる,てれる,"Ngượng ngùng, lúng túng",CHIẾU
省みる,かえりみる,"Nhìn lại, hồi tưởng, xem lại",TỈNH
顧みる,かえりみる,"Quay lại, nhìn lại, xem xét",CỐ
心がける,こころがける,Cố gắng,TÂM
試みる,こころみる,"Cố gắng, thử",THÍ
案じる,あんじる,"Cân nhắc, lo lắng",ÁN
染みる,しみる,"Thấm, ngấm, nhiễm",NHIỄM
滲む,にじむ,"Thấm, rỉ, nhòe, ố",SẤM
ぼやける,ぼやける,"Mờ đi, nhạt đi, mờ, nhạt",
弱る,よわる,"Yếu đi, suy nhược",NHƯỢC
老ける,ふける,"Già đi, có tuổi già",LÃO
凍える,こごえる,Đóng băng,ĐÔNG
叶う,かなう,Thành hiện thực,DIỆP
叶える,かなえる,"Hiện thực, thành hiện thực",DIỆP
